"file_names","median"
"Kodak_M1063_0_10021.dat","653250.5"
"Kodak_M1063_0_10022.dat","216002"
"Kodak_M1063_0_10023.dat","667139"
"Kodak_M1063_0_10024.dat","279742"
"Kodak_M1063_0_10025.dat","376001"
"Kodak_M1063_0_10026.dat","494785.5"
"Kodak_M1063_0_10027.dat","289088.5"
"Kodak_M1063_0_10028.dat","507904"
"Kodak_M1063_0_10029.dat","671999"
"Kodak_M1063_0_10030.dat","129474.5"
"Kodak_M1063_0_10031.dat","707651"
"Kodak_M1063_0_10032.dat","344706"
"Kodak_M1063_0_9375.dat","698559"
"Kodak_M1063_0_9376.dat","709570.5"
"Kodak_M1063_0_9377.dat","364481"
"Kodak_M1063_0_9378.dat","450561"
"Kodak_M1063_0_9379.dat","180931"
"Kodak_M1063_0_9380.dat","543425.5"
"Kodak_M1063_0_9381.dat","685122"
"Kodak_M1063_0_9382.dat","303808"
"Kodak_M1063_0_9383.dat","88835.5"
"Kodak_M1063_0_9384.dat","544129.5"
"Kodak_M1063_0_9385.dat","501312"
"Kodak_M1063_0_9386.dat","568190.5"
"Kodak_M1063_0_9457.dat","916227"
"Kodak_M1063_0_9458.dat","574014.5"
"Kodak_M1063_0_9459.dat","532163.5"
"Kodak_M1063_0_9463.dat","503294.5"
"Kodak_M1063_0_9464.dat","815747"
"Kodak_M1063_0_9465.dat","444862.5"
"Kodak_M1063_0_9466.dat","433410"
"Kodak_M1063_0_9467.dat","32824"
"Kodak_M1063_0_9786.dat","215940"
"Kodak_M1063_0_9787.dat","550594.5"
"Kodak_M1063_0_9788.dat","966721.5"
"Kodak_M1063_0_9789.dat","1056830.5"
"Kodak_M1063_0_9790.dat","304194"
"Kodak_M1063_0_9791.dat","1107264.5"
"Kodak_M1063_0_9840.dat","87297.5"
"Kodak_M1063_0_9841.dat","519297"
"Kodak_M1063_0_9842.dat","740931.5"
"Kodak_M1063_0_9843.dat","461636.5"
"Kodak_M1063_0_9844.dat","328192"
"Kodak_M1063_0_9845.dat","586561"
"Kodak_M1063_0_9846.dat","936321"
"Kodak_M1063_0_9847.dat","954820"
"Kodak_M1063_0_9848.dat","536578"
"Kodak_M1063_0_9849.dat","381057"
"Kodak_M1063_0_9932.dat","732033"
"Kodak_M1063_0_9933.dat","956094"
"Kodak_M1063_0_9934.dat","670399"
"Kodak_M1063_0_9935.dat","827841.5"
"Kodak_M1063_0_9936.dat","119106.5"
"Kodak_M1063_0_9937.dat","760962"
"Kodak_M1063_0_9938.dat","193153.5"
"Kodak_M1063_0_9939.dat","478403.5"
"Kodak_M1063_0_9940.dat","645184"
"Kodak_M1063_0_9941.dat","296254.5"
"Kodak_M1063_0_9942.dat","1065411"
"Kodak_M1063_0_9943.dat","476289.5"
"Kodak_M1063_0_9944.dat","326337.5"
"Kodak_M1063_1_10042.dat","629442"
"Kodak_M1063_1_10043.dat","567234"
"Kodak_M1063_1_10044.dat","244864.5"
"Kodak_M1063_1_10045.dat","725313.5"
"Kodak_M1063_1_10046.dat","739330"
"Kodak_M1063_1_10047.dat","833602.5"
"Kodak_M1063_1_10048.dat","703552.5"
"Kodak_M1063_1_10049.dat","559104.5"
"Kodak_M1063_1_10050.dat","280322.5"
"Kodak_M1063_1_10051.dat","634689"
"Kodak_M1063_1_10052.dat","291072"
"Kodak_M1063_1_10053.dat","545283.5"
"Kodak_M1063_1_10091.dat","32953"
"Kodak_M1063_1_10092.dat","290242"
"Kodak_M1063_1_10093.dat","571904.5"
"Kodak_M1063_1_10094.dat","923715.5"
"Kodak_M1063_1_10095.dat","592447.5"
"Kodak_M1063_1_10426.dat","793536.5"
"Kodak_M1063_1_10427.dat","844609"
"Kodak_M1063_1_10428.dat","464832.5"
"Kodak_M1063_1_10429.dat","301184.5"
"Kodak_M1063_1_10430.dat","375103.5"
"Kodak_M1063_1_10431.dat","665729.5"
"Kodak_M1063_1_10480.dat","541634.5"
"Kodak_M1063_1_10481.dat","759043"
"Kodak_M1063_1_10482.dat","855875.5"
"Kodak_M1063_1_10483.dat","688835"
"Kodak_M1063_1_10484.dat","887936"
"Kodak_M1063_1_10485.dat","354560.5"
"Kodak_M1063_1_10486.dat","423616"
"Kodak_M1063_1_10487.dat","749121"
"Kodak_M1063_1_10488.dat","811520"
"Kodak_M1063_1_10489.dat","974272.5"
"Kodak_M1063_1_10576.dat","69571"
"Kodak_M1063_1_10577.dat","55353.5"
"Kodak_M1063_1_10578.dat","372033.5"
"Kodak_M1063_1_10579.dat","914177.5"
"Kodak_M1063_1_10580.dat","932546"
"Kodak_M1063_1_10581.dat","736451"
"Kodak_M1063_1_10582.dat","511872"
"Kodak_M1063_1_10583.dat","847617.5"
"Kodak_M1063_1_10584.dat","465217"
"Kodak_M1063_1_10585.dat","350656.5"
"Kodak_M1063_1_10586.dat","808385"
"Kodak_M1063_1_10587.dat","825343.5"
"Kodak_M1063_1_10662.dat","625792.5"
"Kodak_M1063_1_10663.dat","431422.5"
"Kodak_M1063_1_10664.dat","1065345"
"Kodak_M1063_1_10665.dat","935551"
"Kodak_M1063_1_10666.dat","533249"
"Kodak_M1063_1_10667.dat","1074689.5"
"Kodak_M1063_1_10668.dat","767681"
"Kodak_M1063_1_10669.dat","392001.5"
"Kodak_M1063_1_10670.dat","491137.5"
"Kodak_M1063_1_10671.dat","966591.5"
"Kodak_M1063_1_10672.dat","930945"
"Kodak_M1063_1_10673.dat","628289.5"
"Kodak_M1063_2_10683.dat","898755.5"
"Kodak_M1063_2_10684.dat","195905"
"Kodak_M1063_2_10685.dat","666818"
"Kodak_M1063_2_10686.dat","597504.5"
"Kodak_M1063_2_10687.dat","1193412"
"Kodak_M1063_2_10688.dat","508160.5"
"Kodak_M1063_2_10689.dat","335362.5"
"Kodak_M1063_2_10690.dat","970944.5"
"Kodak_M1063_2_10691.dat","504577.5"
"Kodak_M1063_2_10692.dat","649729"
"Kodak_M1063_2_10693.dat","468356"
"Kodak_M1063_2_10694.dat","306239.5"
"Kodak_M1063_2_10727.dat","368642.5"
"Kodak_M1063_2_10728.dat","480960.5"
"Kodak_M1063_2_10729.dat","813506"
"Kodak_M1063_2_10733.dat","707137.5"
"Kodak_M1063_2_10734.dat","563268"
"Kodak_M1063_2_10735.dat","266052"
"Kodak_M1063_2_10736.dat","1084287.5"
"Kodak_M1063_2_11061.dat","159618.5"
"Kodak_M1063_2_11062.dat","71364"
"Kodak_M1063_2_11064.dat","624960.5"
"Kodak_M1063_2_11066.dat","303297"
"Kodak_M1063_2_11115.dat","51011.5"
"Kodak_M1063_2_11116.dat","471682.5"
"Kodak_M1063_2_11117.dat","527170"
"Kodak_M1063_2_11118.dat","309697"
"Kodak_M1063_2_11119.dat","477954"
"Kodak_M1063_2_11120.dat","447107"
"Kodak_M1063_2_11121.dat","547970.5"
"Kodak_M1063_2_11124.dat","652736"
"Kodak_M1063_2_11125.dat","185282"
"Kodak_M1063_2_11217.dat","608259.5"
"Kodak_M1063_2_11218.dat","891968.5"
"Kodak_M1063_2_11219.dat","878465"
"Kodak_M1063_2_11220.dat","767745"
"Kodak_M1063_2_11221.dat","340035"
"Kodak_M1063_2_11222.dat","447809.5"
"Kodak_M1063_2_11223.dat","832323"
"Kodak_M1063_2_11224.dat","724162"
"Kodak_M1063_2_11225.dat","465217.5"
"Kodak_M1063_2_11226.dat","220611.5"
"Kodak_M1063_2_11227.dat","590723.5"
"Kodak_M1063_2_11228.dat","422913.5"
"Kodak_M1063_2_11229.dat","512130"
"Kodak_M1063_2_11298.dat","57338.5"
"Kodak_M1063_2_11299.dat","522943.5"
"Kodak_M1063_2_11300.dat","476161.5"
"Kodak_M1063_2_11301.dat","936578.5"
"Kodak_M1063_2_11302.dat","887555"
"Kodak_M1063_2_11303.dat","1088192.5"
"Kodak_M1063_2_11304.dat","61625"
"Kodak_M1063_2_11305.dat","111810.5"
"Kodak_M1063_2_11306.dat","612160.5"
"Kodak_M1063_2_11307.dat","464640.5"
"Kodak_M1063_2_11308.dat","743169.5"
"Kodak_M1063_2_11309.dat","775491.5"
"Kodak_M1063_3_11379.dat","1058690.5"
"Kodak_M1063_3_11380.dat","97089"
"Kodak_M1063_3_11381.dat","388160.5"
"Kodak_M1063_3_11382.dat","531776.5"
"Kodak_M1063_3_11383.dat","726724"
"Kodak_M1063_3_11384.dat","192768"
"Kodak_M1063_3_11385.dat","534018"
"Kodak_M1063_3_11386.dat","819840"
"Kodak_M1063_3_11387.dat","597315"
"Kodak_M1063_3_11388.dat","302976.5"
"Kodak_M1063_3_11389.dat","647488.5"
"Kodak_M1063_3_11390.dat","543167.5"
"Kodak_M1063_3_11427.dat","472321.5"
"Kodak_M1063_3_11428.dat","689475.5"
"Kodak_M1063_3_11429.dat","458882"
"Kodak_M1063_3_11433.dat","971135.5"
"Kodak_M1063_3_11434.dat","1029950.5"
"Kodak_M1063_3_11435.dat","764352.5"
"Kodak_M1063_3_11436.dat","273219.5"
"Kodak_M1063_3_11437.dat","419201.5"
"Kodak_M1063_3_11758.dat","631873"
"Kodak_M1063_3_11759.dat","315327"
"Kodak_M1063_3_11760.dat","498947"
"Kodak_M1063_3_11761.dat","296450"
"Kodak_M1063_3_11762.dat","936770"
"Kodak_M1063_3_11763.dat","896576"
"Kodak_M1063_3_11813.dat","537152"
"Kodak_M1063_3_11814.dat","537156"
"Kodak_M1063_3_11815.dat","871168.5"
"Kodak_M1063_3_11816.dat","901055.5"
"Kodak_M1063_3_11817.dat","415682.5"
"Kodak_M1063_3_11818.dat","833407"
"Kodak_M1063_3_11819.dat","508547"
"Kodak_M1063_3_11820.dat","785857"
"Kodak_M1063_3_11821.dat","432575"
"Kodak_M1063_3_11822.dat","590787.5"
"Kodak_M1063_3_11907.dat","319423.5"
"Kodak_M1063_3_11908.dat","974082"
"Kodak_M1063_3_11909.dat","642113.5"
"Kodak_M1063_3_11910.dat","640450"
"Kodak_M1063_3_11911.dat","1059203.5"
"Kodak_M1063_3_11912.dat","478083"
"Kodak_M1063_3_11913.dat","568001.5"
"Kodak_M1063_3_11914.dat","138756"
"Kodak_M1063_3_11915.dat","772928"
"Kodak_M1063_3_11916.dat","651137"
"Kodak_M1063_3_11917.dat","870273"
"Kodak_M1063_3_11918.dat","812927"
"Kodak_M1063_3_12003.dat","523905.5"
"Kodak_M1063_3_12004.dat","340930"
"Kodak_M1063_3_12005.dat","286403.5"
"Kodak_M1063_3_12006.dat","403073.5"
"Kodak_M1063_3_12007.dat","605698.5"
"Kodak_M1063_3_12008.dat","807811"
"Kodak_M1063_3_12009.dat","530435"
"Kodak_M1063_3_12010.dat","313728.5"
"Kodak_M1063_3_12011.dat","370307"
"Kodak_M1063_3_12012.dat","741633.5"
"Kodak_M1063_3_12013.dat","405183.5"
"Kodak_M1063_3_12014.dat","340929.5"
"Kodak_M1063_4_12028.dat","933761"
"Kodak_M1063_4_12029.dat","279359"
"Kodak_M1063_4_12030.dat","1020992.5"
"Kodak_M1063_4_12031.dat","774912.5"
"Kodak_M1063_4_12032.dat","633729.5"
"Kodak_M1063_4_12033.dat","74625.5"
"Kodak_M1063_4_12034.dat","283265.5"
"Kodak_M1063_4_12035.dat","125568"
"Kodak_M1063_4_12036.dat","433983.5"
"Kodak_M1063_4_12037.dat","833792.5"
"Kodak_M1063_4_12038.dat","769921"
"Kodak_M1063_4_12039.dat","336450"
"Kodak_M1063_4_12040.dat","500418"
"Kodak_M1063_4_12041.dat","344642"
"Kodak_M1063_4_12042.dat","257282"
"Kodak_M1063_4_12043.dat","529662"
"Kodak_M1063_4_12044.dat","579202.5"
"Kodak_M1063_4_12092.dat","860866.5"
"Kodak_M1063_4_12093.dat","835648.5"
"Kodak_M1063_4_12094.dat","574210"
"Kodak_M1063_4_12095.dat","737794"
"Kodak_M1063_4_12100.dat","699971.5"
"Kodak_M1063_4_12101.dat","843202.5"
"Kodak_M1063_4_12102.dat","467971"
"Kodak_M1063_4_12103.dat","1150532"
"Kodak_M1063_4_12104.dat","543106"
"Kodak_M1063_4_12105.dat","705087"
"Kodak_M1063_4_12106.dat","275905"
"Kodak_M1063_4_12507.dat","964739"
"Kodak_M1063_4_12508.dat","860354.5"
"Kodak_M1063_4_12509.dat","753473"
"Kodak_M1063_4_12510.dat","406721"
"Kodak_M1063_4_12511.dat","67584"
"Kodak_M1063_4_12512.dat","565122.5"
"Kodak_M1063_4_12513.dat","288255.5"
"Kodak_M1063_4_12559.dat","279682"
"Kodak_M1063_4_12560.dat","461764.5"
"Kodak_M1063_4_12561.dat","580351"
"Kodak_M1063_4_12562.dat","714434"
"Kodak_M1063_4_12563.dat","763587"
"Kodak_M1063_4_12564.dat","609283"
"Kodak_M1063_4_12565.dat","542977"
"Kodak_M1063_4_12566.dat","770435"
"Kodak_M1063_4_12567.dat","672192"
"Kodak_M1063_4_12659.dat","300995.5"
"Kodak_M1063_4_12660.dat","699200"
"Kodak_M1063_4_12661.dat","831170"
"Kodak_M1063_4_12662.dat","700928.5"
"Kodak_M1063_4_12663.dat","735554.5"
"Kodak_M1063_4_12664.dat","1099009"
"Kodak_M1063_4_12665.dat","376193.5"
"Kodak_M1063_4_12666.dat","596675.5"
"Kodak_M1063_4_12667.dat","362113.5"
"Kodak_M1063_4_12668.dat","634178.5"
"Kodak_M1063_4_12669.dat","485246.5"
"Kodak_M1063_4_12670.dat","810050"
"Kodak_M1063_4_12671.dat","795969"
"Kodak_M1063_4_12758.dat","701505"
"Kodak_M1063_4_12759.dat","501763"
"Kodak_M1063_4_12760.dat","355650"
"Kodak_M1063_4_12761.dat","634883.5"
"Kodak_M1063_4_12762.dat","84674"
"Kodak_M1063_4_12763.dat","648002"
"Kodak_M1063_4_12764.dat","503809.5"
"Kodak_M1063_4_12765.dat","731202"
"Kodak_M1063_4_12766.dat","429759.5"
"Kodak_M1063_4_12767.dat","348483.5"
"Kodak_M1063_4_12768.dat","736193"
"Kodak_M1063_4_12769.dat","674369"
